#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
1,TKRHxMv7tUe6cLxQJsE3JL29KeRccY8K7n,999988028.820000,,0.9999,2025-04-18 13:28:30
2,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,9790.375253,,0.0000,2025-04-23 16:26:33
3,TJbNs1NDBBMTSc2eMkGTnQnGtsbaXSegFc,1277.100000,,0.0000,2025-04-20 18:05:36
4,TB5wyxUZA8ndhVGvxrk8vZMvFSzDtwRTzR,161.946224,,0.0000,2025-04-23 16:26:33
5,TCCDA8P8z7ZK3Dy2ytHW9iL4uE57Kbmnng,108.900000,,0.0000,2025-04-20 17:52:30
6,TNrDBjfjYcP8sh7YkRvHhHnUkQ8JSU8xNd,99.990000,,0.0000,2025-04-21 20:23:30
7,TKy77TXEjD6pBBLSffa8EfXNDfSirJ3c4T,99.990000,,0.0000,2025-04-22 12:48:06
8,TMpmaHwdGX1k5VQkqx4drdhu9bufLEDxiE,99.000000,,0.0000,2025-04-20 13:04:39
9,TMbX5ZnGr2jdExsXC3WEiNXni6dVMv1cWo,99.000000,,0.0000,2025-04-20 13:51:51
10,TTDW4dFH5JKxoFM8Jm2YZYkpEcAqc1CTQG,87.184222,,0.0000,2025-04-22 17:55:09
11,TFZZqYgTnuaVUsu3ZS9jULerWjqd7TLtDC,80.679032,,0.0000,2025-04-22 17:35:24
12,TN9gRWAE958XpAgyW9dcRUccKqxveWdT7d,56.008568,,0.0000,2025-04-23 16:26:33
13,TDD7LQc2pvHCUJCb4DxMyePYBhnxUTaqrv,10.890000,,0.0000,2025-04-21 20:30:42
14,TS5v9Z9frcc6zerQmUsLBCEp28fdabNZC7,0.114209,,0.0000,2025-04-23 16:26:33
15,TSjyiJPxeipbf5XsyejKZbftdEh2NtffJu,0.002492,,0.0000,2025-04-16 09:35:12
